Date,Ticker,Open,High,Low,Close,Volume
2021-01-01,NIFTY50,1001.05,1002.07,1000.23,1000.57,4187436
2021-01-04,NIFTY50,1000.74,1001.04,1000.57,999.78,2950500
2021-01-05,NIFTY50,1003.2,1004.1,1003.12,1003.02,1893061
2021-01-06,NIFTY50,1006.11,1009.02,1002.65,1006.6,2223045
2021-01-07,NIFTY50,1003.51,1004.17,1000.52,1003.5,1647601
2021-01-08,NIFTY50,1006.2,1006.8,1006.12,1006.51,3904936
2021-01-11,NIFTY50,1009.36,1010.6,1008.47,1011.17,2936983
2021-01-12,NIFTY50,1008.99,1011.27,1007.09,1008.65,2404568
2021-01-13,NIFTY50,1009.17,1011.25,1007.13,1009.45,1760956
2021-01-14,NIFTY50,1010.46,1010.61,1009.51,1009.95,4554382
2021-01-15,NIFTY50,1009.4,1010.74,1008.86,1008.55,4103577
2021-01-18,NIFTY50,1007.75,1009.9,1006.06,1007.17,3928583
2021-01-19,NIFTY50,1008.22,1011.32,1003.96,1007.74,4688498
2021-01-20,NIFTY50,1005.13,1006.77,1004.94,1005.49,1163543
2021-01-21,NIFTY50,1002.98,1003.74,1001.78,1005.33,4979439
2021-01-22,NIFTY50,1001.33,1003.13,1000.46,1000.61,1371557
2021-01-25,NIFTY50,998.49,1000.23,997.55,998.07,1499964
2021-01-26,NIFTY50,1000.36,1002.61,998.95,1000.3,3151365
2021-01-27,NIFTY50,995.02,997.4,993.6,995.42,3997493
2021-01-28,NIFTY50,996.3,999.58,996.08,996.56,1799458
2021-01-29,NIFTY50,996.44,998.24,994.65,997.72,4384425
2021-02-01,NIFTY50,997.47,998.74,995.78,995.04,3444480
2021-02-02,NIFTY50,996.94,997.6,996.2,994.56,1005435
2021-02-03,NIFTY50,994.02,995.23,988.2,993.52,1139565
2021-02-04,NIFTY50,995.49,996.57,994.74,996.58,4349027
2021-02-05,NIFTY50,994.18,994.5,992.1,992.61,3942905
2021-02-08,NIFTY50,992.79,992.87,989.53,989.78,1920267
2021-02-09,NIFTY50,993.25,995.25,990.77,993.82,4428261
2021-02-10,NIFTY50,992.67,994.15,992.45,992.92,3128650
2021-02-11,NIFTY50,991.79,992.81,989.13,990.7,4995915
2021-02-12,NIFTY50,989.32,989.78,988.7,988.34,1887977
2021-02-15,NIFTY50,995.41,997.4,994.2,994.44,1560113
2021-02-16,NIFTY50,993.99,999.12,993.08,994.1,2327654
2021-02-17,NIFTY50,990.91,991.3,990.0,990.29,3627014
2021-02-18,NIFTY50,993.79,998.61,992.4,994.28,4800714
2021-02-19,NIFTY50,993.37,994.94,991.07,990.52,2742115
2021-02-22,NIFTY50,993.24,993.28,989.74,992.38,4016243
2021-02-23,NIFTY50,988.22,988.75,987.44,987.1,3139934
2021-02-24,NIFTY50,985.67,985.71,985.35,985.41,4118880
2021-02-25,NIFTY50,986.19,987.28,985.99,985.65,1447628
2021-02-26,NIFTY50,990.16,992.52,989.33,990.96,2109137
2021-03-01,NIFTY50,988.91,991.14,987.02,987.05,3567592
2021-03-02,NIFTY50,988.83,990.26,987.61,988.87,4019065
2021-03-03,NIFTY50,988.93,990.36,986.29,989.48,1464535
2021-03-04,NIFTY50,985.28,986.15,983.72,987.13,2540808
2021-03-05,NIFTY50,983.44,983.48,981.44,982.96,3648191
2021-03-08,NIFTY50,982.68,984.03,981.18,983.01,2348894
2021-03-09,NIFTY50,985.02,986.2,982.09,983.22,2957686
2021-03-10,NIFTY50,985.84,986.55,984.84,983.45,1056572
2021-03-11,NIFTY50,983.18,984.33,981.23,984.03,2896424
2021-03-12,NIFTY50,983.25,983.46,982.22,983.25,4550985
2021-03-15,NIFTY50,983.26,986.36,981.31,984.44,3513595
2021-03-16,NIFTY50,981.2,983.67,980.15,979.82,4967361
2021-03-17,NIFTY50,982.68,985.61,980.47,983.2,3133221
2021-03-18,NIFTY50,982.76,983.09,982.1,984.63,1737550
2021-03-19,NIFTY50,987.64,987.74,986.08,988.06,1812802
2021-03-22,NIFTY50,985.49,985.84,982.83,985.77,2798954
2021-03-23,NIFTY50,985.63,986.11,983.23,985.63,2960350
2021-03-24,NIFTY50,982.49,982.94,980.71,980.92,1782533
2021-03-25,NIFTY50,989.53,992.51,987.74,990.89,1929090
2021-03-26,NIFTY50,986.44,989.65,982.78,985.83,3802743
2021-03-29,NIFTY50,987.42,989.08,986.6,987.92,1387902
2021-03-30,NIFTY50,983.16,983.37,981.73,981.6,2971402
2021-03-31,NIFTY50,982.52,985.81,977.96,981.34,2900302
2021-04-01,NIFTY50,982.58,982.93,981.34,984.01,2652332
2021-04-02,NIFTY50,985.82,989.14,982.75,985.47,1684659
2021-04-05,NIFTY50,988.31,988.36,984.55,989.77,4236443
2021-04-06,NIFTY50,988.32,988.78,986.89,988.24,4216521
2021-04-07,NIFTY50,989.55,992.07,985.78,987.71,1439717
2021-04-08,NIFTY50,989.01,990.24,988.27,989.9,1712494
2021-04-09,NIFTY50,989.46,990.21,988.58,988.87,3733112
2021-04-12,NIFTY50,992.29,992.93,991.92,992.99,3500145
2021-04-13,NIFTY50,992.53,995.1,991.68,992.56,2190897
2021-04-14,NIFTY50,997.8,998.92,997.36,996.26,4790918
2021-04-15,NIFTY50,990.2,992.42,987.64,990.36,4167118
2021-04-16,NIFTY50,992.2,992.7,990.3,994.4,4166097
2021-04-19,NIFTY50,993.33,994.32,991.97,993.82,3241105
2021-04-20,NIFTY50,992.88,995.16,991.34,992.83,2320307
2021-04-21,NIFTY50,993.25,996.41,991.59,994.32,3322024
2021-04-22,NIFTY50,988.82,990.85,987.02,989.03,3564695
2021-04-23,NIFTY50,986.7,988.32,985.8,986.91,1893441
2021-04-26,NIFTY50,990.29,992.81,987.93,989.2,1481127
2021-04-27,NIFTY50,990.57,991.04,988.21,990.8,3578515
2021-04-28,NIFTY50,991.08,992.02,987.75,992.12,3860074
2021-04-29,NIFTY50,988.51,990.48,985.46,987.67,1925337
2021-04-30,NIFTY50,988.3,988.45,986.82,989.72,2559366
2021-05-03,NIFTY50,990.62,991.26,987.06,990.53,2095589
2021-05-04,NIFTY50,991.37,991.67,988.06,990.48,1641629
2021-05-05,NIFTY50,990.51,992.18,989.46,991.51,1914217
2021-05-06,NIFTY50,992.83,997.01,991.36,992.54,4864708
2021-05-07,NIFTY50,991.96,995.18,990.52,992.72,2195402
2021-05-10,NIFTY50,993.3,993.67,991.2,993.01,1631872
2021-05-11,NIFTY50,993.21,997.25,991.69,993.15,1078113
2021-05-12,NIFTY50,992.88,992.89,990.13,993.37,3586999
2021-05-13,NIFTY50,989.77,990.15,988.38,990.07,2921792
